id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,dist_to_west_campus_center_m,in_ut_shape,dist_to_ut_shape_m,ut_shape_area_within_275m,ut_shape_share_of_275m_buffer,ut_shape_touches_275m_buffer,ut_shape_area_within_500m,ut_shape_share_of_500m_buffer,ut_shape_touches_500m_buffer,in_west_campus_shape,dist_to_west_campus_shape_m,west_campus_shape_area_within_275m,west_campus_shape_share_of_275m_buffer,west_campus_shape_touches_275m_buffer,west_campus_shape_area_within_500m,west_campus_shape_share_of_500m_buffer,west_campus_shape_touches_500m_buffer,in_north_campus_shape,dist_to_north_campus_shape_m,north_campus_shape_area_within_275m,north_campus_shape_share_of_275m_buffer,north_campus_shape_touches_275m_buffer,north_campus_shape_area_within_500m,north_campus_shape_share_of_500m_buffer,north_campus_shape_touches_500m_buffer,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_in_ut_shape,ut_x_in_west_campus_shape,ut_x_in_north_campus_shape,ut_x_ut_shape_share_275m,ut_x_west_campus_share_275m,ut_x_north_campus_share_275m
11,w_22nd_pearl,9,23,1062.1304347826087,0,1,30.2853,-97.7467,2,3.67,213.27,870.0,864.0,6875,1.0069444444444444,2.0,18,163.74,0,3408022.03,3.0,8,179.72,5,203.71,0,578.65,178.58,4.0,10.0,302.69,881.28,547.45,980.0,0.0,362.92,0,397.59,0.0,0.0,0,11220.7,0.0143,1,1,0.0,232699.71,0.981,1,626904.66,0.7995,1,0,902.2,0.0,0.0,0,0.0,0.0,0,0.0,881.28,2,864.0,0,1,0,0.0,0.981,0.0
63,rainey_cummings,9,19,800.2631578947369,0,0,30.255906,-97.739949,0,431.83,458.98,670.0,0.0,4549,670.0,2.0,6,72.9,0,3404951.01,3.0,7,82.21,5,106.6,0,832.55,572.74,0.0,8.0,627.44,3018.24,2894.94,130.0,0.0,3684.79,0,2235.26,0.0,0.0,0,0.0,0.0,0,0,2794.87,0.0,0.0,0,0.0,0.0,0,0,3700.02,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
20,w_3rd_west,9,11,671.0,0,0,30.2678,-97.75189,5,177.57,204.89,4622.0,3818.0,8216,1.2105814562598218,1.0,11,135.86,0,3406022.58,3.0,34,36.16,19,82.49,0,745.87,242.33,5.0,16.0,267.43,2222.88,2011.51,980.0,0.0,2332.78,0,1706.39,0.0,0.0,0,0.0,0.0,0,0,1754.06,0.0,0.0,0,0.0,0.0,0,0,2808.92,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
18,w_3rd_nueces,9,11,613.0909090909091,0,0,30.26697,-97.74929,6,15.69,136.2,10453.0,2065.0,6568,5.061985472154964,1.0,17,71.34,0,3405980.57,3.0,50,39.11,29,55.07,0,578.93,266.51,5.0,17.0,336.0,2144.05,1983.06,980.0,0.0,2392.43,0,1562.26,0.0,0.0,0,0.0,0.0,0,0,1769.37,0.0,0.0,0,0.0,0.0,0,0,2771.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
66,riverside_south_lamar,9,19,582.3684210526316,0,0,30.26446,-97.75665,1,191.4,286.2,2521.0,0.0,7666,2521.0,1.0,14,107.34,0,3405571.06,3.0,9,60.11,7,64.4,0,938.96,338.07,1.0,10.0,480.33,2804.15,2570.09,980.0,0.0,2806.04,0,2293.06,0.0,0.0,0,0.0,0.0,0,0,2174.61,0.0,0.0,0,0.0,0.0,0,0,3368.29,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
51,e_6th_medina,3,11,572.1818181818181,0,0,30.26455,-97.73165,3,157.47,184.4,3786.0,0.0,4804,3786.0,2.0,10,84.6,0,3406045.44,4.0,37,32.68,17,33.91,1,294.68,484.17,1.0,12.0,547.15,2104.7,1909.1,900.0,0.0,3061.18,0,1138.35,0.0,0.0,0,0.0,0.0,0,0,1999.55,0.0,0.0,0,0.0,0.0,0,0,2559.46,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
60,nash_hernandez_east_rbj_south,3,11,569.3636363636364,0,0,30.252,-97.7346,2,155.03,215.83,46.0,338.0,3601,0.13609467455621302,3.0,1,233.43,0,3404625.85,4.0,1,325.11,0,608.12,0,1412.91,672.53,0.0,1.0,997.87,3442.71,3293.44,900.0,0.0,4231.47,0,2543.92,0.0,0.0,0,0.0,0.0,0,0,3267.25,0.0,0.0,0,0.0,0.0,0,0,3979.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
62,plaza_saltillo,3,15,502.8,0,0,30.26217,-97.72743,3,16.32,167.54,2578.0,1641.0,3570,1.570993296770262,2.0,7,90.94,0,3405865.29,3.0,50,60.49,31,79.89,0,651.34,299.05,4.0,8.0,407.02,2479.26,2241.95,900.0,0.0,3499.09,0,1462.77,0.0,0.0,0,0.0,0.0,0,0,2417.27,0.0,0.0,0,0.0,0.0,0,0,2778.75,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
58,lakeshore_lady_bird_ln,3,11,474.3636363636364,0,0,30.24478312140979,-97.72319224423872,0,417.55,474.87,28.0,0.0,4749,28.0,2.0,2,252.51,0,3404053.88,3.0,1,356.65,0,494.31,0,1448.45,620.89,0.0,1.0,1105.19,4434.17,4210.08,900.0,0.0,5380.1,0,3429.75,0.0,0.0,0,0.0,0.0,0,0,4335.26,0.0,0.0,0,0.0,0.0,0,0,4716.58,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
92,w_7th_congress_w_6th_congress,9,17,466.4117647058824,1,0,30.26822,-97.74285,5,130.16,166.77,33231.0,0.0,4559,33231.0,1.0,5,148.35,0,3406236.13,3.0,84,27.01,60,27.01,2,184.61,199.34,7.0,19.0,222.6,1738.1,1643.04,130.0,0.0,2291.76,0,1048.93,0.0,0.0,0,0.0,0.0,0,0,1458.65,0.0,0.0,0,0.0,0.0,0,0,2429.88,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
13,e_23rd_san_jacinto_dkr_stadium,9,23,459.0,0,1,30.2856,-97.7335,8,6.29,27.89,472.0,0.0,3259,472.0,2.0,5,124.64,0,3408299.93,3.0,8,156.15,3,195.46,2,323.0,413.6,2.0,8.0,477.52,429.1,373.26,390.0,4313.0,1384.44,1,0.0,237201.48,1.0,1,755624.98,0.9636,1,0,622.96,0.0,0.0,0,0.0,0.0,0,0,410.16,0.0,0.0,0,35006.98,0.0446,1,4313.0,429.1,8,0.0,1,0,0,1.0,0.0,0.0
59,lakeshore_pleasant_valley,3,15,448.4,0,0,30.24258,-97.71726,2,41.63,133.41,0.0,0.0,4293,0.0,2.0,6,198.23,0,3403925.18,3.0,0,415.2,0,746.94,0,1507.26,620.89,0.0,1.0,1238.6,4859.26,4608.73,900.0,0.0,5862.3,0,3836.13,0.0,0.0,0,0.0,0.0,0,0,4793.51,0.0,0.0,0,0.0,0.0,0,0,5030.86,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
64,rainey_driskill,9,11,444.45454545454544,0,0,30.260814,-97.738086,2,92.53,170.53,605.0,1901.0,6524,0.31825355076275647,2.0,9,96.31,0,3405519.37,2.0,22,22.82,17,44.71,0,595.95,563.2,0.0,11.0,591.4,2462.23,2334.58,130.0,0.0,3199.36,0,1662.63,0.0,0.0,0,0.0,0.0,0,0,2257.38,0.0,0.0,0,0.0,0.0,0,0,3127.69,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
24,w_5th_bowie,9,15,436.73333333333335,0,0,30.2696,-97.75332,7,67.32,137.41,7488.0,2318.0,8216,3.2303710094909404,1.0,9,80.44,0,3406191.81,3.0,35,41.0,11,41.0,0,595.92,242.33,5.0,10.0,276.12,2174.05,1920.47,980.0,0.0,2168.26,0,1729.23,0.0,0.0,0,0.0,0.0,0,0,1564.62,0.0,0.0,0,0.0,0.0,0,0,2717.95,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
16,e_2nd_congress,9,15,426.6666666666667,0,0,30.26408,-97.74355,3,124.41,215.56,10003.0,0.0,6888,10003.0,1.0,11,80.4,0,3405772.91,3.0,67,50.31,42,56.22,2,206.39,169.6,5.0,20.0,246.94,2194.94,2093.96,130.0,0.0,2733.08,0,1485.13,0.0,0.0,0,0.0,0.0,0,0,1921.93,0.0,0.0,0,0.0,0.0,0,0,2891.89,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
54,electric_drive_pfluger_ped_bridge,9,19,409.3157894736842,0,0,30.267064,-97.75482,4,140.69,155.15,653.0,2318.0,8216,0.2817083692838654,1.0,8,115.67,0,3405888.19,3.0,13,98.24,5,139.88,0,792.48,293.45,3.0,11.0,315.82,2473.77,2232.71,980.0,0.0,2477.96,0,1988.76,0.0,0.0,0,0.0,0.0,0,0,1859.89,0.0,0.0,0,0.0,0.0,0,0,3030.76,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
29,w_16th_san_antonio,9,11,380.45454545454544,0,0,30.27924,-97.74371,7,101.19,147.3,6343.0,0.0,3720,6343.0,1.0,5,193.77,0,3407418.53,2.0,7,118.91,4,147.14,0,568.8,547.91,0.0,12.0,633.27,783.2,521.82,980.0,0.0,1089.14,0,349.9,0.0,0.0,0,34415.36,0.0439,1,0,312.12,0.0,0.0,0,96505.65,0.1231,1,0,1316.94,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
57,lake_austin_blvd_deep_eddy,10,11,368.8181818181818,0,0,30.27807,-97.77272,5,146.12,164.49,989.0,0.0,1141,989.0,1.0,2,286.24,0,3406753.89,3.0,7,37.62,4,37.67,0,964.52,482.45,1.0,2.0,911.96,3455.48,3072.25,980.0,0.0,2687.24,0,2981.17,0.0,0.0,0,0.0,0.0,0,0,2055.17,0.0,0.0,0,0.0,0.0,0,0,3397.92,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
71,south_congress_barton_springs,9,11,363.8181818181818,0,0,30.25839,-97.74592,2,243.36,265.69,4726.0,428.0,6161,11.042056074766355,1.0,2,270.76,0,3405110.11,3.0,15,69.1,6,166.92,2,354.12,305.54,3.0,12.0,366.73,2864.96,2764.54,130.0,0.0,3340.63,0,2153.95,0.0,0.0,0,0.0,0.0,0,0,2586.05,0.0,0.0,0,0.0,0.0,0,0,3558.47,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
21,w_4th_congress,9,15,360.3333333333333,0,0,30.26634,-97.74378,4,204.1,221.77,22051.0,687.0,6460,32.09752547307132,1.0,9,113.75,0,3406014.4,3.0,97,36.39,68,56.46,3,104.03,226.76,8.0,21.0,264.54,1964.44,1869.8,130.0,0.0,2481.98,0,1273.44,0.0,0.0,0,0.0,0.0,0,0,1681.2,0.0,0.0,0,0.0,0.0,0,0,2653.83,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
52,e_6th_pedernales,3,11,345.1818181818182,0,0,30.25895,-97.71475,3,225.87,248.79,1227.0,0.0,3954,1227.0,2.0,1,259.27,0,3405751.87,2.0,8,47.62,5,47.62,0,484.11,431.84,1.0,4.0,595.57,3407.87,3100.24,900.0,0.0,4544.48,0,2402.77,0.0,0.0,0,0.0,0.0,0,0,3446.18,0.0,0.0,0,0.0,0.0,0,0,3337.34,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
41,cesar_chavez_congress,9,11,335.90909090909093,0,0,30.26332,-97.74508,3,121.75,142.26,6452.0,0.0,6999,6452.0,1.0,8,95.28,0,3405661.83,3.0,48,106.15,24,127.0,1,297.05,169.6,3.0,19.0,251.81,2321.74,2226.68,130.0,0.0,2800.46,0,1626.46,0.0,0.0,0,0.0,0.0,0,0,2035.97,0.0,0.0,0,0.0,0.0,0,0,3009.48,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
