total_docks,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,dist_to_west_campus_center_m,in_ut_shape,dist_to_ut_shape_m,ut_shape_area_within_275m,ut_shape_share_of_275m_buffer,ut_shape_touches_275m_buffer,ut_shape_area_within_500m,ut_shape_share_of_500m_buffer,ut_shape_touches_500m_buffer,in_west_campus_shape,dist_to_west_campus_shape_m,west_campus_shape_area_within_275m,west_campus_shape_share_of_275m_buffer,west_campus_shape_touches_275m_buffer,west_campus_shape_area_within_500m,west_campus_shape_share_of_500m_buffer,west_campus_shape_touches_500m_buffer,west_campus_shape_area_within_1000m,in_north_campus_shape,dist_to_north_campus_shape_m,north_campus_shape_area_within_275m,north_campus_shape_share_of_275m_buffer,north_campus_shape_touches_275m_buffer,north_campus_shape_area_within_500m,north_campus_shape_share_of_500m_buffer,north_campus_shape_touches_500m_buffer,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_in_ut_shape,ut_x_in_west_campus_shape,ut_x_in_north_campus_shape,ut_x_ut_shape_share_275m,ut_x_west_campus_share_275m,ut_x_north_campus_share_275m,trips_per_dock
-1.6728567220186854,0,1,2.1069071960557024,-0.12320828393533831,-0.38434257546559725,0.8849406790638411,0.5107922277056743,-0.5138822977744755,0.4673673436948786,1.4239237383078172,-0.38262431069577807,0.8320502943378437,0.19742099830859564,0.06888701074086971,-0.33088974763113727,-0.016145235052195634,0.50709255283711,-0.24408473573900888,0.8425042157783672,-0.5381413971054938,0.3486430158974037,-0.7435223956449145,1.5095923199611803,0.052920744985564316,-1.0390635191582012,-0.6003002251876643,0.47437501801008386,-1.3915111753629088,-1.3192726991610004,-0.1585944018483392,0.20541777064289887,-1.6015482448242664,0,-1.0792589519637732,-0.37484495933673223,-0.37484646760826007,0,-0.21096658419875725,-0.21119246584664766,1,1,-1.5845226272163353,3.2852818496825527,3.285150921615225,1,2.83663383914438,2.83660244753129,1,3.010605532324905,0,-1.7959005896780964,0.7869012301126382,0.7866819905157995,1,1.9682940118184429,1.9678288307031622,1,0.20541777064289887,1.807885387988487,0.9119831381272531,2.2009412401445,0,1,0,-0.3716500718779127,3.285150921615225,0.7866819905157995,3299.714285714286
-2.2011272658140597,0,1,1.5057406152812978,-0.19878880726765652,-1.1222803203595437,0.49482067305568256,0.7900566159234744,-0.4902369777015682,1.6016521328869433,0.898978463904881,-0.38268485505320593,0.8320502943378437,3.3329309714451143,-0.7170919201358814,-0.5510874921221227,1.893391744335621,0.50709255283711,-0.5076962503371384,-0.738878188259779,-0.41928808240734794,-0.773298879349331,-0.7435223956449145,-0.11166294836246504,-0.9430572080010329,0.47740756285647096,0.12006004503753274,-0.7883698832008392,-1.2403939636921317,-1.280721043915096,0.8568702981896665,0.5792465899494421,-1.8266182185119004,0,-1.1687804361508705,-0.3345749986476083,-0.33450010806325764,1,0.18992508440180153,0.19016304342809232,1,1,-1.5845226272163353,3.5049271424349504,3.5049762221092418,1,3.4487286469288123,3.448915175574721,1,2.636358863263973,0,-1.3928838868788713,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,0.5792465899494421,2.590871665897579,0.024648192922358206,4.822170529678496,0,1,0,-0.33133519007425266,3.5049762221092418,-0.2249774364099486,2588.4
0.968495996958186,0,1,1.2359323321848235,0.3578908165052696,-0.7533114479125705,0.7764939310341878,0.8481586027338892,-0.6135721348719796,-0.6238603716488517,-0.5782679415906139,-0.37473516205962043,0.8320502943378437,-0.011612999900505582,-0.6221733969673471,-0.5510874921221227,2.71901075632758,0.50709255283711,-0.5955667552031816,-0.7564316896722937,-0.6569947118036397,-0.2855394448033941,0.44611343738694875,-0.848683369757113,-0.7565703513391875,-0.02808279781508642,0.300150112593832,-0.2592870895782093,-1.7682064008937837,-1.6159194722655998,1.4267739563742616,4.5111247072986185,-1.1986159873012447,1,-1.3704034022709681,3.5275727191928086,3.52767493700933,1,3.3729262615155404,3.3729502751530154,1,0,-1.412744637348155,-0.1522070265390133,-0.15222259295174126,1,0.0916880935169823,0.09149961141137651,1,0.7368519175051014,0,-1.4022025407870156,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,4.5111247072986185,-0.1438922373631182,0.4683156655248057,-0.320787056192476,1,0,0,3.5278266327780656,-0.15222259295174126,-0.2249774364099486,2579.470588235294
-0.08804509063256254,0,1,1.883472211616182,-0.03599998778314009,0.3535951694283493,-0.08378809047391428,-0.3967947214112345,-0.4648401524380752,0.792986464672909,1.9038277429969164,-0.3826055606148268,0.8320502943378437,0.8245229929358994,-1.227241788388083,-0.5510874921221227,0.7400433749254054,0.50709255283711,-0.20014948330598728,-0.09107039803602576,-0.1815814530110562,-0.3653254172022842,-0.7435223956449145,0.7613231730259248,-0.34833499065448464,-0.5335731584866438,0.12006004503753274,-0.277254324866086,-1.5720792397342176,-1.5573789964217215,-0.1585944018483392,1.7159913670244407,-1.6989514530004206,0,-1.2353670306825022,0.3880871228391144,0.3881743908457567,1,0.6472513546431131,0.6471566979458945,1,1,-1.5845226272163353,2.7994980150528006,2.799606968418792,1,2.616384254321467,2.6163164174722846,1,3.2235758662927703,0,-1.7873207934422808,0.09210079650517891,0.09165882578369465,1,1.2546319181323649,1.2543061126109691,1,1.7159913670244407,0.8723048868119917,1.799318083332148,2.953417501196964,0,1,0,0.3907754869383635,2.799606968418792,0.09165882578369465,2532.3076923076924
-0.6163156344279368,0,1,1.6069187214425504,-0.3906470588029057,-0.7533114479125705,0.45556278068841927,0.5948660703714357,-0.5217640711321112,0.059670675693460254,0.8083597188853751,-0.38255206330695646,0.8320502943378437,1.451624987563203,-0.09967519419635498,-0.5510874921221227,0.6765067433714302,0.50709255283711,-0.7713077649352679,-0.4499768108454762,-0.6569947118036397,-0.16993605601066958,0.44611343738694875,0.18688607543331742,-0.38257877602981777,-0.5335731584866438,-0.2401200900750658,-0.24745152982508417,-1.1243569437190168,-1.111570757302955,-0.1585944018483392,-0.35532545831691587,-1.995493428812791,0,-1.032129306373896,-0.37484495933673223,-0.37484646760826007,0,-0.3534112199899961,-0.35337883702336237,1,1,-1.5845226272163353,3.5049271424349504,3.5049762221092418,1,4.075303481710717,4.075425132166653,1,2.7805702490299073,0,-1.3397238312912307,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,-0.35532545831691587,3.192096326966292,0.4683156655248057,1.2587912108102166,0,1,0,-0.3716500718779127,3.5049762221092418,-0.2249774364099486,2505.454545454545
-0.6163156344279368,0,1,1.3160316662290612,0.032313177536236755,1.0915329143222958,-0.46627697269577995,-0.812879917279366,-0.3562468306217604,0.2561185751264869,0.3600918441143284,-0.38231145644209114,0.8320502943378437,2.496794978608709,-1.3795875058247276,-0.5510874921221227,2.894127178642894,0.50709255283711,0.4149440507563149,-0.6622905898349386,0.17497849108338145,-0.7027944965807367,0.44611343738694875,-0.6652375840512708,-0.8539942842541476,0.9828979235280284,0.12006004503753274,-0.7394590760282862,-1.403776861212962,-1.609773556211905,0.8568702981896665,1.7236205266021252,-1.518235006703946,0,-1.358354821941327,1.4121690437942622,1.412259928708613,1,1.5117176089222584,1.5116878778765548,1,1,-1.5845226272163353,2.3245667186153702,2.32447579261418,1,1.6721538783873968,1.6719717314397082,1,1.955127361381166,0,-1.3521562425327596,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,1.7236205266021252,1.7443329732532398,2.686653028537043,1.7127644922716208,0,1,0,1.4140620456606752,2.32447579261418,-0.2249774364099486,1966.0
2.553307628344309,0,1,1.7865098598784521,0.39786128557541445,2.567408404110189,-0.8543620123609271,-0.780749786324298,-0.6195564442731475,-0.6238603716488517,0.5343586614595319,-0.3816027715918056,0.8320502943378437,-1.265816989155113,2.127785822855835,-0.5510874921221227,0.6577538373611213,0.50709255283711,-0.8591782698013111,1.4643996943931707,-0.7164213691527127,0.590559319979348,-0.7435223956449145,0.20019488733746654,0.18793286694308753,-0.5335731584866438,0.12006004503753274,-0.05275894850460165,-1.579772119419446,-1.461287557226706,-0.9823642350424356,1.7159913670244407,-1.2910971412056622,1,-1.3704034022709681,3.2804902105159703,3.28045459666005,1,2.7975456298068937,2.7975472346051062,1,0,-1.215091357619349,-0.3516093683893675,-0.3516079970840336,0,-0.24480342083145346,-0.24465412260797895,1,1.3387576585041292,0,-1.9394425409379306,3.1338931265568886,3.1345201670304905,1,3.992568066630752,3.9926905982620897,1,1.7159913670244407,0.8324456334248782,4.461322918946833,-0.320787056192476,1,0,0,3.2807991707458353,-0.3516079970840336,3.1345201670304905,1449.6521739130435
1.4967665407535604,0,1,1.2814624799571326,0.21036344884710387,-0.015373703018623995,-0.9431374190748029,-0.6690975812554365,-0.5461391850344293,-0.6238603716488517,-0.01310724780032295,-0.2973489278188996,0.8320502943378437,0.19742099830859564,0.10860996636155755,-0.5510874921221227,3.029907148112774,0.50709255283711,-0.4637609979041168,0.6603866386235283,-0.47871473975642087,0.025036823594970083,0.44611343738694875,-0.910224362394973,-0.7565703513391875,-0.02808279781508642,0.300150112593832,-0.8356170574763664,-1.6018437506193401,-1.5221296244285485,0.8568702981896665,3.6528442548091067,-1.3522768605161768,1,-1.3704034022709681,3.298769118388058,3.2986500137097567,1,2.5962435873237077,2.5963939402648037,1,0,-1.5830634305422278,0.6800642910472072,0.6800282815501676,1,0.7389782176861276,0.7390764232688269,1,1.2845221273548821,0,-1.412380682191542,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,3.6528442548091067,0.7180855008528384,1.3556506107297006,-0.320787056192476,1,0,0,3.298980391951407,0.6800282815501676,-0.2249774364099486,1332.3157894736842
0.44022545316281175,0,1,1.460547727862607,0.045975810599699025,0.7225640418753225,-0.8407107798098917,-1.1238281846334137,-0.49972429748390756,1.3190900857572476,1.1526037088411312,-0.3826792430541845,0.8320502943378437,1.451624987563203,-0.3110846321626363,-0.5510874921221227,2.8106320971208043,0.50709255283711,0.19526778859120697,-0.9101293121592521,-0.24100811036012915,-0.7042224334469361,0.44611343738694875,-0.3088753429421322,-0.8539942842541476,0.9828979235280284,0.4802401801501313,-0.7152651004686853,-1.3591631115362879,-1.4697100473409959,0.8568702981896665,2.089820186330984,-1.5965711516069991,0,-1.3610520004540008,1.5063302242212133,1.506401434313619,1,1.94255876478852,1.9425268487330882,1,1,-1.5845226272163353,1.7296453701329009,1.729790506014577,1,2.1287670878061165,2.1285729205640918,1,2.327249876901041,0,-1.4657819974272899,-0.22497685890713592,-0.2249774364099486,0,-0.28122670840623937,-0.281214061121217,0,2.089820186330984,1.9754909824349438,2.2429855559345957,4.169195261823052,0,1,0,1.5081301032025487,1.729790506014577,-0.2249774364099486,1244.9333333333334
1.4967665407535604,0,1,1.8092749337647565,0.1464106983356984,0.7225640418753225,-0.2935592043326808,-0.701673964029325,-0.5400089168673792,-0.03182560623425079,1.2410776314933114,-0.38256515057724705,0.8320502943378437,-0.8477489927369105,0.915268638179416,-0.5510874921221227,1.065852791966416,0.50709255283711,-0.1562142308729657,0.022713905762952864,-0.24100811036012915,-0.36627737511308384,-0.7435223956449145,0.5454065022566423,-0.34833499065448464,-0.02808279781508642,0.300150112593832,-0.3491707983860787,-1.7396882685842725,-1.6456483606393075,0.6496326043043592,1.7159913670244407,-1.5459667725448643,1,-1.3704034022709681,2.2816328989398955,2.2816844216489596,1,1.9111209422729762,1.9111412283395661,1,0,-1.498463958250372,0.6913421511857627,0.691212375785828,1,1.2746641070229767,1.2744493320816694,1,2.5925170603912173,0,-1.7793592250547403,0.3210934479774533,0.32158142281227375,1,2.1612502229065296,2.1618780834275593,1,1.7159913670244407,0.0038692652682948262,2.2429855559345957,1.0473516002665493,1,0,0,2.282808224135623,0.691212375785828,0.32158142281227375,1218.5263157894738
