name,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,entertainment_nearby,tourism_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,lat,lon
w_28th_rio_grande,7,3299.714285714286,0,-0.5374980526915426,0.8861376066933987,-0.4961445304721935,0.959948999633099,2.0,-0.10374160381153133,-0.17099048020013305,-0.807020009263087,3.0,-0.4241784932703301,-0.6969077542760826,-0.643016524421848,0.05802815185183768,-0.7016910253204465,-0.7393691004272943,0.4778115094543857,1,-1.3922134985344348,-1.3195346020005112,-0.1585944018483392,0.37133925683157254,30.29333,-97.74412
w_22_5_rio_grande,5,2588.4,0,-0.9823240273328191,0.4930776817563342,-0.4740291378924168,1.8685151918520364,2.0,3.502173452809972,-0.39593628305513434,0.34131851555730064,3.0,-0.4241784932703301,-0.387648226954801,-0.643016524421848,-0.9439279438127848,1.0206414913751949,0.3426344611736244,-0.7901395048393204,1,-1.2410268274953193,-1.2815341568108518,0.8568702981896665,-0.3092243265979277,30.2862,-97.74516
e_21st_speedway_pcl,17,2579.470588235294,0,-0.9823240273328191,0.7721341613521207,-0.603265963280487,-0.5530842280661995,2.0,-0.10374160381153133,-0.39593628305513434,1.2072646288095163,3.0,-0.536667817452517,-0.6195928724457622,0.6082588744530996,-0.7592761945260684,-0.7016910253204465,0.12623374885344063,-0.26163588933327564,1,-1.768484684476474,-1.6161779110008938,1.4267739563742616,5.597095343879521,30.283,-97.7375
w_26th_nueces,13,2532.3076923076924,0,0.7969798712322871,-0.08154058086068995,-0.5241343242059734,1.4114336372449734,2.0,1.1840852021247201,-0.39593628305513434,-0.35227075735488483,3.0,-0.19919984490595613,-0.3103333451244806,-0.643016524421848,-0.35111392370672917,-0.12758018642189942,0.12623374885344063,-0.27507011410799204,1,-1.572973525078451,-1.557942156940399,-0.1585944018483392,2.2046942162743077,30.29068,-97.74292
w_23rd_san_gabriel,11,2505.454545454545,0,-0.9823240273328191,0.45853339626855416,-0.5011550491035491,0.39466038311905766,2.0,1.4416505633119703,-0.39593628305513434,-0.2089398937102234,3.0,-0.7054018037257974,-0.6195928724457622,0.6082588744530996,-0.37894695826613245,-0.12758018642189942,-0.30656767578692684,-0.24751324281957557,1,-1.1261172798075278,-1.1131387599584885,-0.1585944018483392,-0.3092243265979277,30.2874,-97.7478
w_21st_guadalupe,11,1966.0,0,0.7969798712322871,-0.46488720776419273,-0.32475023797892394,0.6670436768848993,2.0,2.471912008060971,-0.39593628305513434,0.9847231904642647,3.0,0.30700211391388516,0.23087082768776232,0.6082588744530996,-0.8502573473038467,0.4465306524766477,0.5590351734938082,-0.7395389997755549,1,-1.4051589505475175,-1.6101030098991456,0.8568702981896665,0.8250483124512393,30.28395,-97.74198
dean_keeton_speedway,23,1449.6521739130435,0,2.576283769797393,-0.8542955168991664,-0.6074125993891951,-0.5530842280661995,2.0,-1.1340030485605324,-0.39593628305513434,1.2085534788385428,3.0,-0.8178911279079845,-0.6969077542760826,-0.643016524421848,0.1828141226022988,-0.12758018642189942,0.3426344611736244,-0.054456366256687636,1,-1.580480607629695,-1.4620793558667116,-0.9823642350424356,1.5241306328448077,30.28953,-97.73695
w_21st_university,19,1332.3157894736842,0,-0.09267207805026602,-0.9425915869937244,-0.5205060176108538,-0.5530842280661995,2.0,-0.10374160381153133,-0.39593628305513434,1.570290720318662,3.0,-0.48042315536142355,-0.4649631087851214,0.6082588744530996,-0.7592761945260684,0.4465306524766477,0.3426344611736244,-0.836711468031103,1,-1.6026108614005496,-1.5229073549599854,0.8568702981896665,4.387590335913828,30.28354,-97.73953
guadalupe_west_mall_university_co_op,15,1244.9333333333334,0,0.7969798712322871,-0.8404924091672628,-0.4864690462185412,0.9207705806667792,2.0,1.6992159244992207,-0.39593628305513434,0.8929194769383944,3.0,0.19451278973169822,-0.3103333451244806,0.6082588744530996,-0.8502573473038467,0.4465306524766477,0.5590351734938082,-0.7152670816380549,1,-1.3601377821791196,-1.4696765726109782,0.8568702981896665,1.6167243176651478,30.285664,-97.741792
dean_keeton_whitis,19,1218.5263157894738,0,0.7969798712322871,-0.2948679760188404,-0.5132494044206145,-0.5530842280661995,2.0,-0.6188723261860319,-0.39593628305513434,0.3458026396166224,3.0,-0.030465858632675702,-0.07838869963351934,-0.643016524421848,-0.35111392370672917,-0.12758018642189942,0.7754358858139918,-0.3491317628653223,1,-1.7397928424529696,-1.6459779577766096,0.6496326043043592,2.2046942162743077,30.2898,-97.74041
