id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,min_dist_to_ut_hotspot_m,avg_dist_3_nearest_ut_hotspot_m,ut_hotspot_within_300m,ut_hotspot_within_500m,min_dist_to_wampus_hotspot_m,avg_dist_3_nearest_wampus_hotspot_m,wampus_hotspot_within_300m,wampus_hotspot_within_500m,dist_to_west_campus_center_m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_ut_hotspots_300m,ut_x_wampus_hotspots_300m
18,w_3rd_nueces,9,11,613.0909090909091,0,0,30.26697,-97.74929,4,18.23,158.21,4952.0,1500.0,5643,3.3013333333333335,1.0,11,82.64,0,3405980.57,3.0,43,45.32,25,63.75,0,670.95,308.57,3.0,15.0,389.9,2489.64,2304.64,980.0,0.0,2383.36,2451.19,0,0,2266.84,2429.82,0,0,2782.42,0.0,0.0,0,0.0,0,0
66,riverside_south_lamar,9,19,582.3684210526316,0,0,30.26446,-97.75665,1,222.15,332.57,2471.0,0.0,7666,2471.0,1.0,10,124.63,0,3405571.06,3.0,8,69.78,6,74.63,0,1090.18,392.61,1.0,6.0,556.99,3253.67,2984.14,980.0,0.0,3129.98,3227.47,0,0,2877.11,3017.24,0,0,3261.9,0.0,0.0,0,0.0,0,0
51,e_6th_medina,3,11,572.1818181818181,0,0,30.26455,-97.73165,3,182.67,213.82,3289.0,0.0,3929,3289.0,2.0,6,97.99,0,3406045.44,4.0,31,37.94,16,39.42,0,342.66,561.05,0.0,10.0,635.28,2447.06,2220.15,900.0,0.0,2137.34,2241.86,0,0,2862.67,2999.59,0,0,3555.82,0.0,0.0,0,0.0,0,0
60,nash_hernandez_east_rbj_south,3,11,569.3636363636364,0,0,30.252,-97.7346,2,179.54,250.62,19.0,338.0,1700,0.05621301775147929,3.0,1,270.84,0,3404625.85,4.0,0,377.2,0,705.36,0,1636.87,779.71,0.0,1.0,1156.98,4003.51,3829.95,900.0,0.0,3764.35,3839.95,0,0,4255.39,4410.03,0,0,4918.88,0.0,0.0,0,0.0,0,0
62,plaza_saltillo,3,15,502.8,0,0,30.26217,-97.72743,2,18.91,194.4,1722.0,1641.0,2931,1.0493601462522852,2.0,6,105.34,0,3405865.29,3.0,39,70.19,25,92.65,0,756.28,346.08,1.0,7.0,471.53,2881.42,2606.44,900.0,0.0,2476.83,2630.78,0,0,3368.85,3498.11,0,0,4063.29,0.0,0.0,0,0.0,0,0
58,lakeshore_lady_bird_ln,3,11,474.3636363636364,0,0,30.24478312140979,-97.72319224423872,0,485.29,551.92,28.0,0.0,3806,28.0,2.0,1,293.13,0,3404053.88,3.0,1,413.5,0,572.84,0,1682.08,718.81,0.0,1.0,1281.68,5154.13,4894.4,900.0,0.0,4765.55,4915.13,0,0,5562.45,5704.59,0,0,6250.66,0.0,0.0,0,0.0,0,0
92,w_7th_congress_w_6th_congress,9,17,466.4117647058824,1,0,30.26822,-97.74285,4,151.16,193.5,23222.0,0.0,4559,23222.0,1.0,3,172.16,0,3406236.13,3.0,68,31.3,49,31.3,2,214.61,231.56,5.0,16.0,258.29,2020.31,1909.33,130.0,0.0,1937.06,1962.13,0,0,2036.0,2198.29,0,0,2664.92,0.0,0.0,0,0.0,0,0
13,e_23rd_san_jacinto_dkr_stadium,9,23,459.0,0,1,30.2856,-97.7335,8,7.31,32.38,394.0,0.0,394,394.0,2.0,4,144.61,0,3408299.93,3.0,7,181.27,3,226.4,2,375.32,481.05,1.0,8.0,553.99,497.71,433.17,390.0,535.0,242.19,291.07,2,7,1154.18,1158.53,0,0,1602.69,535.0,497.71,8,0.0,2,0
59,lakeshore_pleasant_valley,3,15,448.4,0,0,30.24258,-97.71726,2,48.4,154.93,0.0,0.0,4048,0.0,2.0,6,230.39,0,3403925.18,3.0,0,482.1,0,866.24,0,1750.82,718.81,0.0,1.0,1438.53,5646.4,5356.19,900.0,0.0,5200.69,5370.45,0,0,6115.66,6250.87,0,0,6808.85,0.0,0.0,0,0.0,0,0
64,rainey_driskill,9,11,444.45454545454544,0,0,30.260814,-97.738086,2,107.52,197.77,552.0,0.0,5190,552.0,2.0,8,111.65,0,3405519.37,2.0,17,26.48,15,51.82,0,692.95,654.87,0.0,7.0,686.74,2863.47,2714.93,130.0,0.0,2665.45,2743.26,0,0,3060.08,3216.5,0,0,3719.38,0.0,0.0,0,0.0,0,0
