id,name,district,total_docks,ebs_station,trips,trips_per_dock,checkouts_rank_per_day,total_score,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,is_ut
75,Veterans/Atlanta @ MoPac Ped Bridge,9,19,0,5335,280.7894736842105,2.0,19.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,0
56,Hollow Creek/Barton Hills,5,11,0,3047,277.0,2.0,16.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0
74,South Congress/Mary,9,11,0,2989,271.72727272727275,2.0,19.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0
76,Zilker Park,8,15,0,3939,262.6,2.0,20.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,0
28,W 6th/Lavaca,9,7,0,1816,259.42857142857144,1.0,21.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,0
31,W 8th/Congress,9,11,0,2804,254.9090909090909,2.0,21.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,0
38,Barton Springs/Kinney,9,11,0,2774,252.1818181818182,1.0,21.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,0
25,W 5th/Campbell,9,15,0,3776,251.73333333333332,2.0,21.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,0
49,E 5th/Broadway,3,15,0,3593,239.53333333333333,2.0,20.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,0
45,E 11th/San Marcos,1,11,0,2631,239.1818181818182,2.0,20.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,0
73,South Congress/James,9,7,0,1556,222.28571428571428,1.0,19.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0
39,Barton Springs/Azie Morton,9,15,1,3328,221.86666666666667,2.0,20.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,0
69,South Congress @ Bouldin Creek,9,15,0,3312,220.8,2.0,20.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0
26,E 6th/Chalmers,3,11,0,2411,219.1818181818182,1.0,18.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0
