docks,trips_per_dock,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,median_age,median_income,population_density,undergrad_percentage,grad_percentage,west_campus_area_within_550m,distance_to_west_campus_m,distance_to_ut_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,avg_dist_3_retail_m,nearest_bikeshare_station_m,avg_dist_3_stations,bikeshare_station_count_within_275m,bikeshare_station_count_within_550m,nearest_transit_stop_distance_m,count_transit_stop_275m,count_transit_stop_550m
11,328.45454545454544,48.26819194418196,0.0,4,142.8714523701296,234168.3086871573,743414.1432924796,34.4,62031.0,0.0005373177797468,0.0287686996547756,0.0287686996547756,0.0,2820.582363094466,3427.165042878604,1,6,104.7378749632216,148.1932706100324,330.74651823298257,565.3997900364527,0,2,335.767552606049,0,4
15,335.8,201.12366467634308,4.855305320165165,3,219.20708053595013,114251.69965427493,332825.0294943096,35.8,124453.0,0.0010630451219872,0.0056224899598393,0.0208835341365461,0.0,2660.7962540752865,2421.175062407662,4,13,109.67426070296668,144.4504984850422,359.12083200572386,475.7233198355728,0,2,32.831086732427934,5,19
11,252.1818181818182,99.76573751421584,271.38915354077795,11,113.98483407087494,194.525127809501,216223.5215870312,35.3,148333.0,0.0033778257964621,0.0,0.034717494894486,0.0,2562.7464109239377,2807.2874082350395,6,20,24.1187387477934,55.54168313423013,543.80242935674,714.3253089348009,0,1,60.85432445594149,3,10
11,335.90909090909093,90.33029986958014,0.0,8,94.44683943482585,21829.559363945424,105804.9077199874,37.0,155363.0,0.0033894293096951,0.0,0.0408970976253298,0.0,2033.7293179219048,1624.7639523634143,7,35,74.880254066336,107.64289096632436,171.5372802469489,249.34531445213543,2,4,119.13910611282496,3,12
15,288.8666666666667,103.69653474356258,17.800355865538982,5,142.26492281602188,30366.15126224547,38498.21735663357,23.7,59138.0,0.0009512113105562,0.4867052023121387,0.1132947976878612,0.0,812.6156085893005,5.440608778068863,4,16,267.70633853292134,284.88793991994464,337.18165701040834,407.8166013792895,0,3,143.44800256779476,6,23
11,316.0,183.67845225609312,274.2696153768364,4,215.14706814037143,0.3789157602378248,38498.21735663357,23.7,59138.0,0.0009512113105562,0.4867052023121387,0.1132947976878612,0.0,1159.334265700336,0.0,5,19,58.08851129609195,132.11050365093024,461.7316079927714,598.3778972219055,0,2,22.848846576180414,5,16
23,1449.6521739130435,168.95117564802473,327.6992699993195,1,283.99905897650586,0.0,28419.29763058712,19.4,10625.0,0.0090489983491804,0.988296332046332,0.0107384169884169,27613.72694958897,475.4350068747745,0.0,1,19,230.80585820131947,259.60508239575137,337.18165701040834,416.4043660992466,0,3,51.070945452363816,10,25
19,1218.5263157894738,188.48389709160145,458.3516920574011,5,204.3734961554971,0.0,8517.836663472077,19.4,10625.0,0.0090489983491804,0.988296332046332,0.0107384169884169,354328.1575549054,95.71471189131935,0.0,8,33,111.49668332362788,113.32516811870612,252.76990009245583,370.25133127178816,1,4,88.30574357711612,6,19
15,149.26666666666668,59.76108066734926,8.586582389103596,4,102.3054280103505,11630.955274196807,54789.38133149058,45.2,114115.0,0.0017308133350435,0.0662251655629139,0.0,0.0,1290.3562993408973,596.1309319508719,11,46,61.92404058208631,77.9080206950184,208.3742043140058,325.0980623887837,1,5,110.86148303155925,2,15
11,121.0909090909091,85.83062981048752,124.59275847322056,3,150.94598392047013,2615.1902020661487,64144.91868597175,27.7,110069.0,0.002740656450079,0.2671456564337034,0.1038536903984324,0.0,2394.515521859896,1348.422758791782,7,25,168.74185971247508,242.00303153499848,385.4359580989908,481.912771440127,0,2,106.28224546707872,5,22
11,100.54545454545456,35.68660294173244,166.67502122725932,4,126.7881330490554,16532.49890901341,53119.15656872388,45.2,114115.0,0.0017308133350435,0.0662251655629139,0.0,0.0,1044.2543922591385,493.0840338731044,11,41,151.35896318084477,186.3484256168647,184.24623736545857,259.9247124770528,1,6,80.17979171686967,4,14
11,239.1818181818182,96.41335510199788,145.95013928580414,8,109.45019476720576,4550.508309909454,18944.579630028347,27.7,110069.0,0.002740656450079,0.2671456564337034,0.1038536903984324,0.0,1549.7295422963873,581.4015451000312,11,43,24.85329813340696,86.1257737879797,223.74085632709856,418.4698051228295,1,2,63.03511806112613,5,14
11,84.63636363636364,134.06810344027076,246.2463208699402,3,198.5996800465297,911.1499288720418,33137.2552178422,36.7,111504.0,0.0018334001273331,0.009068425391591,0.0230832646331409,0.0,1736.5063984214205,720.5728693461897,12,37,37.68765737017118,46.115768484542485,223.74085632709856,400.31202308103497,1,2,72.55464554342639,3,15
11,99.36363636363636,51.01369029611407,116.56863998518276,2,169.7597603549441,31006.633285807224,52878.811545099925,44.4,98706.0,0.0007278098209757,0.0978723404255319,0.1225531914893617,0.0,861.8926429548856,319.43748861875474,7,35,148.56227623039717,170.1245179310084,151.9776884286741,218.317887846608,2,4,126.4396636492197,4,16
11,154.0909090909091,172.20349005334165,3.7141097578555886,2,281.6450447562247,43204.723288696536,52673.732976750136,44.4,98706.0,0.0007278098209757,0.0978723404255319,0.1225531914893617,0.0,841.0596758046829,218.83222582708305,5,30,17.085123602482778,67.08163755907437,151.9776884286741,293.9566058857127,1,4,157.82613462334402,3,10
17,2579.470588235294,80.8703222694117,822.3839451210862,12,115.08054601232315,0.0,0.0,19.4,10625.0,0.0090489983491804,0.988296332046332,0.0107384169884169,94190.873050536,218.23268325779807,0.0,2,26,19.00654889735108,37.40324319631873,221.4934793825922,384.4150565215657,1,4,227.34712683788808,2,18
23,459.0,73.04057760582802,439.1279825434463,5,128.52432326947672,0.0,12069.586083886126,23.7,59138.0,0.0009512113105562,0.4867052023121387,0.1132947976878612,0.0,619.7830981887375,0.0,3,9,134.9610336606917,147.74519057749802,424.5365391346888,475.625403662422,0,4,6.703280835352709,9,22
