name,shape
ut_main_campus,"POLYGON((-97.73564571565609 30.279960671209366, -97.7370506317677 30.27623432024142, -97.7317642273393 30.274820366632255, -97.72947337744615 30.280997040576494, -97.72777676582336 30.2827325090712, -97.72515293362689 30.286579573360054, -97.72772222560084 30.287634223256727, -97.7306348403287 30.289216925365466, -97.7345620611032 30.289288796749894, -97.7344474108649 30.29011013231507, -97.73467565182274 30.29077968447076, -97.73501118114116 30.29137511973159, -97.73567350904884 30.292034204044597, -97.7360783448911 30.29302678446517, -97.7366253846573 30.291648715054546, -97.73780555662385 30.291713563160542, -97.73788065847627 30.290935383059015, -97.73894281324617 30.291000231636627, -97.73891062673799 30.291787675229127, -97.7411100381302 30.291935899198393, -97.74201326830517 30.28203252432746, -97.73564571565609 30.279960671209366))"
wwh,"POLYGON((-97.7415608686639 30.289068988561333, -97.74149381343852 30.289434926221876, -97.74217241231929 30.289469667068047, -97.74222337429057 30.289138470500596, -97.7415608686639 30.289068988561333))"
sag,"POLYGON((-97.74225553089123 30.289112968454067, -97.7429716806982 30.289170870047577, -97.74304492671577 30.28836910048931, -97.7423314591178 30.2882695089133, -97.74225553089123 30.289112968454067))"
nug,"POLYGON((-97.74313410865719 30.287855302838363, -97.74388244497234 30.28792478563732, -97.74377617925559 30.288874038182332, -97.74305466503058 30.28882076855635, -97.74313410865719 30.287855302838363))"
east_of_35,"POLYGON((-97.72883905178503 30.27852162235471, -97.72317645998525 30.279380662904607, -97.72385480236001 30.28256594881268, -97.72189466987524 30.28282620892405, -97.72213491390887 30.283765023965483, -97.72182377766315 30.284441349314243, -97.72463423008276 30.28634327333681, -97.72479017283129 30.286139453701217, -97.72419509705567 30.285768871460668, -97.72446868237519 30.28530100938281, -97.72427019890809 30.284017851441238, -97.7265101941615 30.283504262819324, -97.72763586176079 30.28147933216354, -97.72883905178503 30.27852162235471))"
whitaker,"POLYGON((-97.73109601610945 30.313659050845963, -97.72646115893171 30.311547306087988, -97.72474778658437 30.313751999442662, -97.72537005907583 30.31395576168721, -97.72480143076467 30.31473375908737, -97.72464049822378 30.31605819283432, -97.72838980060259 30.317564507989395, -97.73109601610945 30.313659050845963))"
