id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,trips_per_dock_day,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score
34,2024-11-14,e_8th_and_trinity,9,1047.0,15,69.8,0.1938888888888889,0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0
54,2024-07-24,electric_drive__at_pfluger_ped_bridge,9,5449.0,19,286.7894736842105,0.7966374269005848,0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,23.0
55,2024-07-24,guadalupe_and_west_mall__at_university_co-op,9,12488.0,15,832.5333333333333,2.3125925925925923,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0
56,2024-08-02,hollow_creek_and_barton_hills,5,2190.0,11,199.0909090909091,0.553030303030303,0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,16.0
57,2024-11-14,lake_austin_blvd_and_deep_eddy,10,2937.0,11,267.0,0.7416666666666667,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0
58,2024-11-14,lakeshore_and_lady_bird_ln.,3,3865.0,11,351.3636363636364,0.976010101010101,0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,18.0
59,2024-07-30,lakeshore_and_pleasant_valley,3,4573.0,15,304.8666666666667,0.8468518518518519,0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,19.0
60,2024-08-01,nash_hernandez_and_east__at_rbj_south,3,4261.0,11,387.3636363636364,1.076010101010101,0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,23.0
61,2024-07-24,one_texas_center,9,1023.0,15,68.2,0.18944444444444444,0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,17.0
62,2024-07-26,plaza_saltillo,3,5294.0,15,352.93333333333334,0.9803703703703703,0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,21.0
63,2024-07-24,rainey_and_cummings,9,10327.0,19,543.5263157894736,1.5097953216374267,0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,24.0
64,2024-07-24,rainey_and_driskill,9,3260.0,11,296.3636363636364,0.8232323232323233,0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,21.0
66,2024-07-24,riverside_and_south_lamar,9,7480.0,19,393.6842105263158,1.0935672514619883,0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,25.0
67,2024-07-26,rosewood_and_angelina,1,801.0,11,72.81818181818181,0.20227272727272727,0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0
68,2024-07-24,s_1st_and_riverside__at_long_center,9,2947.0,15,196.46666666666667,0.5457407407407407,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0
69,2024-07-29,south_congress__at_bouldin_creek,9,2227.0,15,148.46666666666667,0.4124074074074074,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0
70,2024-11-14,south_congress_and_academy,9,1576.0,11,143.27272727272728,0.397979797979798,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0
71,2024-07-25,south_congress_and_barton_springs,9,2727.0,11,247.9090909090909,0.6886363636363636,0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,19.0
