id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
9.0,2024-07-24,W 21st/University,9.0,15836.0,19,833.4736842105264,2.3152046783625733,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,25.0,21/university,3797.0,21st & University,active,"(30.28354, -97.73953)",2007 University Ave.,,"32,674",undetermined_parking,19.0,solar,55.0,5.0,ROW might belong to UT,9.0,,2021 Jan 04 12:00:00 AM,30.28354,-97.73953,1
10.0,2024-11-14,W 22.5/Rio Grande,9.0,8619.0,5,1723.8,4.788333333333333,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,225/rio grande,11.0,22nd 1/2 & Rio Grande,active,"(30.2862, -97.74516)",710 W. 22 1/2 St,,,sidewalk,4.0,solar,,,Kiosk ID & footprint length and width to be revised. These are 4 3.0 docks.,9.0,,2021 Nov 04 02:24:00 PM,30.2862,-97.74516,1
11.0,2024-11-14,W 22nd/Pearl,9.0,15374.0,23,809.1578947368421,2.24766081871345,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,22/pearl,3792.0,22nd & Pearl,active,"(30.2853, -97.7467)",900 W. 22nd,,"32,669",undetermined_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.2853,-97.7467,1
12.0,2024-07-24,W 23rd/San Gabriel,9.0,18621.0,11,1692.8181818181818,4.702272727272727,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0,23/san gabriel,111.0,23rd & San Gabriel,active,"(30.2874, -97.7478)",915 W 23rd St,,,paid_parking,13.0,solar,,,Kiosk ID and Footprint length & width to be revised.,9.0,,2021 Nov 04 02:15:00 PM,30.2874,-97.7478,1
14.0,2024-07-24,W 26th/Nueces,9.0,22169.0,13,1705.3076923076924,4.7369658119658125,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0,26/nueces,3838.0,Nueces & 26th,active,"(30.29068, -97.74292)",600 W. 26th St.,,"16,744",undetermined_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.29068,-97.74292,1
15.0,2024-07-24,W 28th/Rio Grande,9.0,15705.0,7,2243.5714285714284,6.232142857142857,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,28/rio grande,3793.0,Rio Grande & 28th,active,"(30.29333, -97.74412)",2717 Rio Grande St.,,"32,668",paid_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.29333,-97.74412,1
17.0,2024-07-24,W 2nd/Lavaca @ City Hall,9.0,4246.0,19,223.47368421052633,0.6207602339181287,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,2/lavaca,2499.0,City Hall / Lavaca & 2nd,active,"(30.26476, -97.74678)",Presented by Graves Dougherty Hearon & Moody,,"16,732",sidewalk,19.0,solar,55.0,5.0,check dock #-18?,9.0,,2021 Jan 04 12:00:00 AM,30.26476,-97.74678,0
18.0,2024-07-24,W 3rd/Nueces,9.0,4573.0,11,415.72727272727275,1.15479797979798,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,3/nueces,3621.0,Nueces & 3rd,active,"(30.26697, -97.74929)",311 Nueces St.,,"16,742",paid_parking,11.0,solar,35.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.26697,-97.74929,0
20.0,2024-11-14,W 3rd/West,9.0,5279.0,11,479.90909090909093,1.333080808080808,,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,22.0,3,2552.0,3rd & West,active,"(30.2678, -97.75189)",652 W. 3rd St,,"16,727",paid_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.2678,-97.75189,0
21.0,2024-07-25,W 4th/Congress,9.0,3549.0,15,236.6,0.6572222222222222,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,4/congress,2495.0,4th & Congress,active,"(30.26634, -97.74378)",120 W. 4th St.,,"16,726",paid_parking,15.0,solar,45.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.26634,-97.74378,0
24.0,2024-07-24,W 5th/Bowie,9.0,4488.0,15,299.2,0.8311111111111111,,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,21.0,5/bowie,2501.0,5th & Bowie,active,"(30.2696, -97.75332)",Presented by Whole Foods Market,,"16,728",paid_parking,15.0,solar,45.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.2696,-97.75332,0
25.0,2024-07-24,W 5th/Campbell,9.0,2567.0,15,171.13333333333333,0.47537037037037033,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,5/campbell,4050.0,5th & Campbell,active,"(30.27489, -97.76483)",1611 W 5th St,,"32,745",paid_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.27489,-97.76483,0
92.0,2025-12-21,W 7th/Congress (W 6th/Congress),9.0,5840.0,17,530.9090909090909,1.4747474747474747,✓,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,22.0,7/congress,,,,,,,,,,,,,,,,,30.26822,-97.74285,0
28.0,2024-11-14,W 6th/Lavaca,9.0,1389.0,7,198.42857142857142,0.5511904761904761,,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,21.0,6/lavaca,3294.0,Lavaca & 6th,active,"(30.268887, -97.745242)",601 Lavaca St.,,"32,515",sidewalk,12.0,solar,25.0,8.0,"double sided, remeasure",9.0,,2022 Mar 04 10:21:00 AM,30.268887,-97.745242,0
30.0,2024-07-24,W 6th/West,9.0,1503.0,15,100.2,0.2783333333333333,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,6,2537.0,West & 6th St.,active,"(30.27041, -97.75046)",603 West Ave.,,"16,737",undetermined_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.27041,-97.75046,0
31.0,2024-11-14,W 8th/Congress,9.0,1927.0,11,175.1818181818182,0.4866161616161616,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,8/congress,2496.0,8th & Congress,active,"(30.2698, -97.74186)",111 E. 8th St.,,"16,725",sidewalk,14.0,solar,20.0,7.5,double sided,9.0,,2021 Jan 04 12:00:00 AM,30.2698,-97.74186,0
35.0,2024-07-24,W 9th/Henderson,9.0,2367.0,11,215.1818181818182,0.5977272727272728,,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,9/henderson,3685.0,Henderson & 9th,active,"(30.27217, -97.75246)",672 Henderson Street,,"32,593",paid_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.27217,-97.75246,0
76.0,2024-11-14,Zilker Park,8.0,3166.0,15,211.06666666666666,0.5862962962962963,,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,20.0,zilker,2574.0,Zilker Park,active,"(30.2659, -97.76822)",Barton Springs Rd,Zilker Park at Barton Springs and William Burton Drive,"16,759",parkland,17.0,solar,50.0,5.0,parkland at ROW/easement,8.0,,2021 Jan 04 12:00:00 AM,30.2659,-97.76822,0
88.0,2025-03-31,30th/Whitis,3.0,1481.0,11,134.63636363636363,0.7397602397602397,,,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,19.0,30/whitis,,,,,,,,,,,,,,,,,30.295427,-97.739347,0
50.0,2025-09-16,E 5th/Shady @ Eastside Bus Plaza,9.0,15.0,11,1.3636363636363635,0.0909090909090909,✓,,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,17.0,5/shady,4699.0,East 5th/Shady @ Eastside Bus Plaza,active,"(30.25212, -97.69807)",5104 East 5th. Street,,"32,522",sidewalk,10.0,solar,15.0,10.0,,3.0,,2021 Jul 27 08:25:00 AM,30.25212,-97.69807,0
94.0,2026-01-06,E 7th/Pleasant Valley ,,,11,0.0,0.0,✓,,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,18.0,7/pleasant valley,,,,,,,,,,,,,,,,,30.260097959013496,-97.70949592069434,0
91.0,2025-11-12,E 8th/San Jacinto,3.0,,15,0.0,0.0,✓,,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,19.0,8/san jacinto,2562.0,San Jacinto & 8th Street,active,"(30.26912, -97.73986)",782 San Jacinto Blvd.,,"16,755",paid_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.26912,-97.73986,0
90.0,2025-11-12,E Cesar Chavez/Pleasant Valley ,9.0,,17,0.0,0.0,✓,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,22.0,cesar chavez/pleasant valley,,,,,,,,,,,,,,,,,30.252951,-97.712467,0
,2026-02-24,Webberville/Neal,2.0,,15,0.0,0.0,✓,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,21.0,neal/webberville,,,,,,,,,,,,,,,,,30.267506,-97.707997,0
22.0,2025-07-03,W 4th/Guadalupe @ Republic Square,9.0,490.0,11,44.54545454545455,0.494949494949495,,,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,22.0,4/guadalupe,2550.0,4th/Guadalupe @ Republic Square,active,"(30.267263, -97.747144)",,,,sidewalk,17.0,solar,30.0,5.0,,9.0,,2022 Mar 04 10:28:00 AM,30.267263,-97.747144,0
93.0,2025-12-31,Webberville/Northwestern,1.0,,11,0.0,0.0,,,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0,northwestern/webberville,,,,,,,,,,,,,,,,,30.263061,-97.713433,0
