id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
5.0,2024-07-24,E 12th/San Jacinto @ State Cap Visitors Garage,9.0,660.0,11,60.0,0.16666666666666666,,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,18.0,12/san jacinto,,,,,,,,,,,,,,,,,30.273499,-97.738097,0
6.0,2024-07-24,E 13th/Trinity @ Waterloo Greenway,9.0,1138.0,11,103.45454545454545,0.2873737373737374,,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,21.0,13/trinity,1111.0,13th & Trinity,active,"(30.2741, -97.73666)",910 Trinity Street,,,sidewalk,13.0,solar,,,The Kiosk ID and footprint length & width still need to be revised.,1.0,,2021 Nov 04 02:12:00 PM,30.2741,-97.73666,0
8.0,2024-11-14,E 21st/Speedway @ PCL,9.0,30402.0,17,1788.3529411764705,4.9676470588235295,,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,24.0,21/speedway,3798.0,21st & Speedway @PCL,active,"(30.283, -97.7375)",E. 21st St.,,"32,675",sidewalk,22.0,solar,30.0,7.5,On UT property-2 sided,9.0,,2021 Jan 04 12:00:00 AM,30.283,-97.7375,1
13.0,2024-11-14,E 23rd/San Jacinto @ DKR Stadium,9.0,6803.0,23,295.7826086956522,0.8216183574879228,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,24.0,23/san jacinto,3799.0,23rd & San Jacinto @ DKR Stadium,active,"(30.2856, -97.7335)",E. 23rd St.,,"32,676",sidewalk,22.0,solar,30.0,7.5,On UT property-2 sided,1.0,,2021 Jan 04 12:00:00 AM,30.2856,-97.7335,1
16.0,2024-07-25,E 2nd/Congress,9.0,4322.0,15,288.1333333333333,0.8003703703703704,,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0,2/congress,2494.0,2nd & Congress,active,"(30.26408, -97.74355)",151 E. 2nd St,,"16,733",paid_parking,15.0,solar,45.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.26408,-97.74355,0
47.0,2024-11-14,E 2nd/Pedernales,3.0,1290.0,11,117.27272727272727,0.32575757575757575,,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,19.0,2/pedernales,3293.0,East 2nd & Pedernales,active,"(30.25542, -97.71665)",2414 E 2nd St,,"16,729",nonmetered_parking,10.0,solar,20.0,15.0,Kiosk replaced by Barton Sp/Riverside.  Old city ID: 32517,3.0,,2021 Jan 04 12:00:00 AM,30.25542,-97.71665,0
48.0,2024-07-30,E 4th/Chicon,3.0,1787.0,19,94.05263157894737,0.26125730994152047,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,18.0,4/chicon,3292.0,East 4th & Chicon,active,"(30.25987, -97.72373)",1819 East 4th St.,,"32,516",undetermined_parking,9.0,solar,30.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.25987,-97.72373,0
23.0,2024-07-31,E 5th/Neches @ Downtown Station,9.0,4161.0,15,277.4,0.7705555555555554,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,5/neches,,,,,,,,,,,,,,,,,30.265843991099903,-97.73891781267969,0
49.0,2024-08-01,E 5th/Broadway,3.0,2354.0,15,156.93333333333334,0.43592592592592594,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,20.0,5/broadway,2823.0,Capital Metro HQ - East 5th at Broadway,active,"(30.2563, -97.71007)",2910 E 5th St,,"16,684",undetermined_parking,13.0,solar,40.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.2563,-97.71007,0
26.0,2024-07-26,E 6th/Chalmers,3.0,1614.0,11,146.72727272727272,0.40757575757575754,,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,18.0,6/chalmers,4057.0,6th & Chalmers,active,"(30.26269, -97.72438)",639 Chalmers Avenue,,"32,690",paid_parking,13.0,solar,40.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.26269,-97.72438,0
