total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
11,231.0,0,-1.4271500019740957,-0.6027476337668983,-0.5530842280661996,1.0,-0.8764376873732822,4.814580994044306,2.0,-0.761646465816891,0.1180618582145199,0.4465306524766477,-1.172170525067662,-0.3810949184564605,0,30.26452,-97.7712
15,159.26666666666668,1,-1.4271500019740957,-0.6017109747397213,-0.5530842280661996,1.0,0.15382375737571893,2.178660007945826,2.0,-0.8741357899990779,0.13894046073217178,-0.12758018642189942,-0.9557698127474782,-0.2375447270744727,0,30.261881964956064,-97.76897665654796
15,228.33333333333331,0,0.35215389659101054,0.021493877098205307,1.2994952973412033,1.0,-0.8764376873732822,2.1003708070900196,3.0,-0.649157141634704,0.36328231663356286,-0.7016910253204465,-0.09016696346674312,0.2610155231634175,0,30.25966,-97.753445
11,180.1818181818182,0,-0.09267207805026602,-0.4671180777112365,-0.5530842280661996,1.0,0.6689544797502195,-0.38049991162755376,3.0,-0.08671052072376918,1.4926068307331724,-1.2758018642189937,-0.7393691004272944,1.1980609450729807,0,30.262,-97.76118
11,246.45454545454547,0,-0.09267207805026602,0.4949014995090506,-0.5530842280661996,1.0,0.4113891185629692,-0.24294567498952943,3.0,0.9819380590070069,-1.009913911180662,0.4465306524766477,1.2082373104543596,-0.8496153640130324,0,30.26332,-97.74508
15,199.8,0,1.2418058458735637,3.4272643343838194,-0.5530842280661996,2.0,-0.10374160381153133,-0.39593628305513434,3.0,-0.9303804520901714,0.4948876177261816,-0.12758018642189942,-0.7393691004272944,-0.06364240897908818,1,30.28931,-97.733037
11,190.9090909090909,0,0.7969798712322871,-0.5656006852930546,-0.5530842280661996,1.0,-0.6188723261860319,-0.39593628305513434,3.0,-0.649157141634704,1.1104935499612354,-1.2758018642189937,-1.172170525067662,0.8471383832968623,1,30.28785,-97.728541
23,1156.0,0,2.576283769797393,-0.607412599389195,-0.5530842280661996,2.0,-1.1340030485605324,-0.39593628305513434,3.0,-0.8178911279079845,0.1828141226022988,-0.12758018642189942,0.34263446117362445,-0.054456366256687164,1,30.28953,-97.73695
19,832.6315789473684,0,0.7969798712322871,-0.5132494044206145,-0.5530842280661996,2.0,-0.6188723261860319,-0.39593628305513434,3.0,-0.030465858632675702,-0.35111392370672917,-0.12758018642189942,0.775435885813992,-0.34913176286532177,1,30.2898,-97.74041
15,95.66666666666669,0,-0.5374980526915426,-0.10169577063133217,0.023398222438218742,1.0,-0.6188723261860319,-0.39593628305513434,2.0,-0.14295518281486266,-0.7883267744453185,1.0206414913751949,0.9918365981341758,-0.7199158813302625,0,30.27024,-97.73578
11,77.54545454545455,0,0.35215389659101054,-0.5574801895801679,-0.5530842280661996,2.0,-0.8764376873732822,-0.39593628305513434,2.0,-0.8178911279079845,0.6227309274768144,-0.7016910253204465,-0.5229683881071107,0.5334197421732497,0,30.26638,-97.7214
11,58.63636363636363,0,-0.09267207805026602,0.9351360330502307,-0.5530842280661996,3.0,-0.3613069649987816,-0.39593628305513434,3.0,-0.8178911279079845,-0.9366465597601965,2.7429740080708362,0.9918365981341758,-0.8542247502919278,0,30.27193,-97.73854
11,174.9090909090909,0,-0.09267207805026602,-0.5203332411063242,-0.5530842280661996,2.0,0.6689544797502195,-0.39593628305513434,2.0,-0.536667817452517,-0.5408400927127409,-0.7016910253204465,0.12623374885344066,-0.011495448189556076,0,30.26968,-97.73074
11,56.27272727272727,0,-0.09267207805026602,-0.5339825849641552,-0.5530842280661996,2.0,-0.8764376873732822,-0.39593628305513434,3.0,-0.2554445069970496,-0.5408400927127409,-0.12758018642189942,-0.09016696346674312,-0.12609748567846257,0,30.26899800040119,-97.72843433423913
11,60.0,0,0.35215389659101054,-0.3169752952750961,-0.5530842280661996,2.0,-0.8764376873732822,-0.39593628305513434,2.0,-0.761646465816891,-1.1273948387181907,1.0206414913751949,0.9918365981341758,-1.0123731013758686,0,30.273499,-97.738097
11,103.45454545454544,0,-0.09267207805026602,-0.4470760031858138,-0.5530842280661996,1.0,-1.1340030485605324,-0.39593628305513434,3.0,-0.761646465816891,-1.1273948387181907,-0.12758018642189942,0.12623374885344066,-0.6347038306360144,0,30.2741,-97.73666
17,1788.3529411764705,0,-0.9823240273328191,-0.6032659632804869,-0.5530842280661996,2.0,-0.10374160381153133,-0.39593628305513434,3.0,-0.536667817452517,-0.7592761945260684,-0.7016910253204465,0.12623374885344066,-0.26163588933327514,1,30.283,-97.7375
23,295.7826086956522,0,2.1314577951561167,-0.5405480921362763,-0.5530842280661996,2.0,-0.3613069649987816,-0.39593628305513434,3.0,-0.536667817452517,0.7740513746309933,-0.7016910253204465,-0.09016696346674312,0.22275634003382577,1,30.2856,-97.7335
15,288.1333333333333,0,-0.9823240273328191,0.8841669642140266,-0.5530842280661996,1.0,0.6689544797502195,-0.2493018279302979,3.0,1.713118666191222,-1.009913911180662,0.4465306524766477,1.2082373104543596,-0.8739734381438242,0,30.26408,-97.74355
11,117.27272727272728,0,-0.5374980526915426,-0.574585063528589,1.2491230443845065,3.0,-0.8764376873732822,-0.39593628305513434,2.0,-0.48042315536142355,0.9035012074050084,-1.2758018642189937,-0.9557698127474782,0.9007869352520774,0,30.25542,-97.71665
19,94.05263157894736,0,-0.09267207805026602,-0.5716478629515873,-0.5530842280661996,2.0,0.6689544797502195,-0.39593628305513434,2.0,-0.649157141634704,-1.8505796588332009,-0.12758018642189942,-0.7393691004272944,-0.7627385750961081,0,30.25987,-97.72373
15,277.4,0,-0.09267207805026602,-0.10998904284874844,1.1726318454502633,1.0,-0.10374160381153133,-0.39593628305513434,3.0,2.6692779217398113,0.27832050358381993,-0.12758018642189942,1.641038735094727,-0.16445761351583085,0,30.265843991099903,-97.73891781267967
15,156.93333333333334,0,-0.5374980526915426,-0.48923347029101316,1.54016272813431,2.0,-0.6188723261860319,-0.39593628305513434,3.0,-0.7054018037257974,1.66357552990606,-1.2758018642189937,-1.3885712373878458,1.9006727190217283,0,30.2563,-97.71007
11,146.72727272727272,0,1.2418058458735637,-0.3014254098674406,-0.5530842280661996,3.0,-0.3613069649987816,-0.39593628305513434,2.0,1.6568740041001286,-0.07207910566288675,0.4465306524766477,-0.3065676757869269,-0.5151976441188607,0,30.26269,-97.72438
11,121.63636363636364,0,-0.09267207805026602,-0.4890606937864837,-0.5530842280661996,2.0,0.6689544797502195,-0.39593628305513434,2.0,-0.649157141634704,-1.8505796588332009,-0.12758018642189942,-0.5229683881071107,-0.6340181487303506,0,30.259718,-97.723198
