name,lat,lon,type
1200_51st_and_grover,30.320707,-97.735989,bus
5113_woodrow_and_north,30.322371,-97.736892,bus
5223_woodrow_and_north_loop,30.324061,-97.735824,bus
5413_woodrow_and_houston,30.326186,-97.734482,bus
5515_woodrow_and_houston,30.327565,-97.733603,bus
5701_woodrow_and_theckla,30.329034,-97.732673,bus
5819_woodrow_and_koenig,30.330737,-97.73158,bus
woodrow_and_alguno,30.332811,-97.730682,bus
woodrow_and_alegria,30.334573,-97.730128,bus
6523_woodrow_and_brentwood,30.337279,-97.72842,bus
woodrow_and_dwyce,30.340171,-97.726594,bus
7115_woodrow_and_piedmont,30.342849,-97.724984,bus
woodrow_and_pasadena,30.344977,-97.72521,bus
woodrow_and_morrow,30.34743,-97.723761,bus
7717_woodrow_and_princeton,30.34989,-97.72302,bus
1700_anderson_and_wooten_park,30.35279,-97.72362,bus
anderson_and_mullen,30.35401,-97.72622,bus
jackie_robinson_and_delano,30.276588,-97.67835,bus
1420_webberville_and_fort_branch,30.27989,-97.681063,bus
12th_and_webberville,30.278254,-97.684918,bus
4600_12th_and_springdale,30.278941,-97.686682,bus
12th_and_cometa,30.278639,-97.689538,bus
3522_12th_and_e_m_franklin,30.277864,-97.694461,bus
3250_12th_and_airport,30.276978,-97.700178,bus
12th_and_harvey,30.276346,-97.70424,bus
2900_12th_and_alexander,30.275723,-97.708093,bus
12th_and_cedar,30.274879,-97.713399,bus
2204_12th_and_chestnut,30.27439,-97.716486,bus
1914_12th_and_chicon,30.273963,-97.719142,bus
1700_12th_and_leona,30.273521,-97.72187,bus
1400_12th_and_angelina,30.273059,-97.7249,bus
1220_12th_and_san_bernard,30.272727,-97.726844,bus
12th_and_ih-35,30.272088,-97.730842,bus
12th_and_branch,30.271886,-97.731306,bus
12th_and_navasota,30.272434,-97.727844,bus
1819_12th_and_chicon,30.273695,-97.720001,bus
2601_12th_and_cedar,30.274815,-97.712846,bus
2863_12th_and_alexander,30.275533,-97.708349,bus
3245_12th_and_airport,30.276731,-97.700547,bus
