id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
57,2024-11-14,lake_austin_blvd_deep_eddy,10,2937,11,267.0,0,4,981,0,1.0,1,0,3.0,7,560.2187833761261,0,2,1058.7244037776766,0,30.27807,-97.77272
58,2024-11-14,lakeshore_lady_bird_ln,3,3865,11,351.3636363636364,0,0,28,0,2.0,1,1685,3.0,1,718.810199091429,0,1,1281.677871750076,0,30.24478312140979,-97.72319224423872
59,2024-07-30,lakeshore_pleasant_valley,3,4573,15,304.8666666666667,0,2,0,0,2.0,6,52991,3.0,0,718.810199091429,0,1,1438.5335406432184,0,30.24258,-97.71726
60,2024-08-01,nash_hernandez_east_rbj_south,3,4261,11,387.3636363636364,0,2,19,338,3.0,1,76267,4.0,0,779.7067377505235,0,1,1156.9805161866789,0,30.252,-97.7346
61,2024-07-24,one_texas_center,9,1023,15,68.2,0,7,257,0,1.0,2,14550,3.0,7,238.04267638765984,3,8,324.8908091971164,0,30.257653,-97.74898
62,2024-07-26,plaza_saltillo,3,5294,15,352.93333333333334,0,2,1722,1641,2.0,6,0,3.0,39,346.07572464955473,1,7,471.5276202639113,0,30.26217,-97.72743
63,2024-07-24,rainey_cummings,9,10327,19,543.5263157894736,0,0,670,0,2.0,5,43399,3.0,6,665.6613857557119,0,4,727.7100555018665,0,30.255906,-97.739949
64,2024-07-24,rainey_driskill,9,3260,11,296.3636363636364,0,2,552,0,2.0,8,9821,2.0,17,654.8650989533487,0,7,686.7410104404804,0,30.260814,-97.738086
66,2024-07-24,riverside_south_lamar,9,7480,19,393.6842105263158,0,1,2471,0,1.0,10,85113,3.0,8,392.6092320428036,1,6,556.9948858771601,0,30.26446,-97.75665
67,2024-07-26,rosewood_angelina,1,801,11,72.81818181818181,0,2,132,639,2.0,5,0,2.0,9,456.9084857290614,2,6,546.4841332046008,0,30.26888,-97.72431
68,2024-07-24,s_1st_riverside_long_center,9,2947,15,196.46666666666667,0,7,1078,0,1.0,3,69592,3.0,6,238.04267638765984,3,9,365.39687377072323,0,30.259384,-97.749726
69,2024-07-29,south_congress_bouldin_creek,9,2227,15,148.46666666666667,0,4,1790,0,1.0,2,0,3.0,10,363.7597474841671,3,8,408.5947606379009,0,30.25495,-97.74755
70,2024-11-14,south_congress_academy,9,1576,11,143.27272727272728,0,2,2124,0,1.0,6,0,3.0,13,177.620300131633,3,7,336.8451934446042,0,30.25226,-97.74854
71,2024-07-25,south_congress_barton_springs,9,2727,11,247.9090909090909,0,0,3689,428,1.0,0,0,3.0,12,353.6320944883045,3,10,425.0948094424172,0,30.25839,-97.74592
72,2024-07-29,south_congress_elizabeth,9,1411,11,128.27272727272728,0,2,1294,0,1.0,0,0,3.0,20,292.15484596308687,2,4,428.0829204427343,0,30.24891,-97.75019
73,2024-08-02,south_congress_james,9,1130,7,161.42857142857142,0,2,1157,0,1.0,4,0,3.0,19,177.620300131633,2,5,336.5406238702589,0,30.25103,-97.74926
