name,geometry
ut_main_campus,"POLYGON((-97.73564571565609 30.279960671209366, -97.7370506317677 30.27623432024142, -97.7317642273393 30.274820366632255, -97.72947337744615 30.280997040576494, -97.72777676582336 30.2827325090712, -97.72515293362689 30.286579573360054, -97.72772222560084 30.287634223256727, -97.7306348403287 30.289216925365466, -97.7345620611032 30.289288796749894, -97.7344474108649 30.29011013231507, -97.73467565182274 30.29077968447076, -97.73501118114116 30.29137511973159, -97.73567350904884 30.292034204044597, -97.7360783448911 30.29302678446517, -97.7366253846573 30.291648715054546, -97.73780555662385 30.291713563160542, -97.73788065847627 30.290935383059015, -97.73894281324617 30.291000231636627, -97.73891062673799 30.291787675229127, -97.7411100381302 30.291935899198393, -97.74201326830517 30.28203252432746, -97.73564571565609 30.279960671209366))"
whitaker,"POLYGON((-97.73109601610945 30.313659050845963, -97.72646115893171 30.311547306087988, -97.72474778658437 30.313751999442662, -97.72537005907583 30.31395576168721, -97.72480143076467 30.31473375908737, -97.72464049822378 30.31605819283432, -97.72838980060259 30.317564507989395, -97.73109601610945 30.313659050845963))"
