id,name,district,trips,total_docks,trips_per_dock,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score,is_ut
75,Veterans/Atlanta @ MoPac Ped Bridge,9,5335,19,280.7894736842105,0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,0
56,Hollow Creek/Barton Hills,5,3047,11,277.0,0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,16.0,0
74,South Congress/Mary,9,2989,11,271.72727272727275,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,19.0,0
76,Zilker Park,8,3939,15,262.6,0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,20.0,0
28,W 6th/Lavaca,9,1816,7,259.42857142857144,0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,21.0,0
31,W 8th/Congress,9,2804,11,254.9090909090909,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
38,Barton Springs/Kinney,9,2774,11,252.1818181818182,0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,21.0,0
25,W 5th/Campbell,9,3776,15,251.73333333333332,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
49,E 5th/Broadway,3,3593,15,239.53333333333333,0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,20.0,0
45,E 11th/San Marcos,1,2631,11,239.1818181818182,0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,0
73,South Congress/James,9,1556,7,222.28571428571428,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
39,Barton Springs/Azie Morton,9,3328,15,221.86666666666667,1,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,20.0,0
69,South Congress @ Bouldin Creek,9,3312,15,220.8,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0,0
26,E 6th/Chalmers,3,2411,11,219.1818181818182,0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,18.0,0
32,E 8th/Lavaca,9,1509,7,215.57142857142858,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,0
70,South Congress/Academy,9,2087,11,189.72727272727272,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
33,E 8th/Red River,9,2056,11,186.9090909090909,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
72,South Congress/Elizabeth,9,1965,11,178.63636363636363,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
53,E 6th/Chicon,3,1888,11,171.63636363636363,0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,18.0,0
47,E 2nd/Pedernales,3,1783,11,162.0909090909091,0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,19.0,0
6,E 13th/Trinity @ Waterloo Greenway,9,1695,11,154.0909090909091,0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,21.0,0
30,W 6th/West,9,2286,15,152.4,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
1,E 10th/Red River,9,2239,15,149.26666666666668,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
48,E 4th/Chicon,3,2693,19,141.73684210526315,0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,18.0,0
3,E 11th/Salina,1,1332,11,121.0909090909091,0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,17.0,0
61,One Texas Center,9,1703,15,113.53333333333333,0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,17.0,0
67,Rosewood/Angelina,1,1153,11,104.81818181818181,0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,0
4,E 11th/San Jacinto,9,1106,11,100.54545454545455,0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,21.0,0
5,E 12th/San Jacinto @ State Cap Visitors Garage,9,1093,11,99.36363636363636,0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,18.0,0
34,E 8th/Trinity,9,1435,15,95.66666666666667,0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,0
46,E 11th/Waller,1,931,11,84.63636363636364,0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,20.0,0
