id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,trips_per_dock_day,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score
88,2025-03-31,30th/Whitis,3,1481,11,134.63636363636363,0.7397602397602397,0,,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,19.0
50,2025-09-16,E 5th/Shady @ Eastside Bus Plaza,9,15,11,1.3636363636363635,0.0909090909090909,1,,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,17.0
94,2026-01-06,E 7th/Pleasant Valley ,,,11,0.0,0.0,1,,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,18.0
91,2025-11-12,E 8th/San Jacinto,3,,15,0.0,0.0,1,,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,19.0
90,2025-11-12,E Cesar Chavez/Pleasant Valley ,9,,17,0.0,0.0,1,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,22.0
22,2025-07-03,W 4th/Guadalupe @ Republic Square,9,490,11,44.54545454545455,0.494949494949495,0,,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,22.0
93,2025-12-31,Webberville/Northwestern,1,,11,0.0,0.0,0,,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0
