id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
18,w_3rd_nueces,9,11,613.0909090909091,0,4,4952,1500,1.0,11,15644,3.0,43,308.56837695120703,3,15,389.8976394035914,0,30.26697,-97.74929
66,riverside_south_lamar,9,19,582.3684210526316,0,1,2471,0,1.0,10,85113,3.0,8,392.6092320428036,1,6,556.9948858771601,0,30.26446,-97.75665
51,e_6th_medina,3,11,572.1818181818181,0,3,3289,0,2.0,6,0,4.0,31,561.0473606046482,0,10,635.2796742734159,0,30.26455,-97.73165
60,nash_hernandez_east_rbj_south,3,11,569.3636363636364,0,2,19,338,3.0,1,76267,4.0,0,779.7067377505235,0,1,1156.9805161866789,0,30.252,-97.7346
62,plaza_saltillo,3,15,502.8,0,2,1722,1641,2.0,6,0,3.0,39,346.07572464955473,1,7,471.5276202639113,0,30.26217,-97.72743
58,lakeshore_lady_bird_ln,3,11,474.3636363636364,0,0,28,0,2.0,1,1685,3.0,1,718.810199091429,0,1,1281.677871750076,0,30.24478312140979,-97.72319224423872
92,w_7th_congress_w_6th_congress,9,17,466.4117647058824,1,4,23222,0,1.0,3,0,3.0,68,231.5559494112329,5,16,258.2891807016064,0,30.26822,-97.74285
13,e_23rd_san_jacinto_dkr_stadium,9,23,459.0,0,8,394,0,2.0,4,0,3.0,7,481.04639705152374,1,8,553.9899156949858,1,30.2856,-97.7335
59,lakeshore_pleasant_valley,3,15,448.4,0,2,0,0,2.0,6,52991,3.0,0,718.810199091429,0,1,1438.5335406432184,0,30.24258,-97.71726
64,rainey_driskill,9,11,444.45454545454544,0,2,552,0,2.0,8,9821,2.0,17,654.8650989533487,0,7,686.7410104404804,0,30.260814,-97.738086
24,w_5th_bowie,9,15,436.73333333333335,0,4,7211,2318,1.0,6,8251,3.0,23,281.36504414212527,4,8,320.4113242330526,0,30.2696,-97.75332
